id,host,app,host_type,virtual,desktop,os,os_release,os_version,host_model,host_serial,location,ip
286,WSOMDAVFHF03,FHF,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 32 48 83 FE 13 08 55-B9 9C EE 43 40 67 F4 5A,SOMERSET,10.9.146.77
287,R000C00,ERR,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0293LK1,SOMERSET,fe80::1ec1:deff:fe06:ea70
288,R000C00,ERR,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0293LK1,SOMERSET,10.9.181.220
289,WSOMQWBDPX03,DPX,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-42 10 31 2F 54 1A D4 74-B9 E6 96 10 58 FA 96 97,SOMERSET,10.9.171.95
290,R108C00,PLY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
291,R108C00,PLY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
292,R108C00,WVR,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
293,R108C00,WVR,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
294,R108C00,FRC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
295,R108C00,FRC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
296,R108C00,IWA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
297,R108C00,IWA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
