id,host,app,host_type,virtual,desktop,os,os_release,os_version,host_model,host_serial,location,ip
168,AVATPCNBK05N17,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Nashville,fe80::226:b9ff:fe57:f0aa
169,AVATPCNBK05N17,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Nashville,160.254.70.212
170,WTPCPDBTQI02,TQI,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant BL680c G5,USE8139WB1,Nashville,160.254.73.173
171,XSD00G35,ITY,Server,N,N,SunOS,s10s_u5wos_10,5.1,Sun Microsystems sun4v SPARC Enterprise T5120,BEL08355UK,Nashville,160.254.41.155
172,XSD00G35,ITY,Server,N,N,SunOS,s10s_u5wos_10,5.1,Sun Microsystems sun4v SPARC Enterprise T5120,BEL08355UK,Nashville,160.254.41.157
173,XSD00G35,ITY,Server,N,N,SunOS,s10s_u5wos_10,5.1,Sun Microsystems sun4v SPARC Enterprise T5120,BEL08355UK,Nashville,160.254.41.154
174,XSD00G35,CRM,Server,N,N,SunOS,s10s_u5wos_10,5.1,Sun Microsystems sun4v SPARC Enterprise T5120,BEL08355UK,Nashville,160.254.41.155
175,XSD00G35,CRM,Server,N,N,SunOS,s10s_u5wos_10,5.1,Sun Microsystems sun4v SPARC Enterprise T5120,BEL08355UK,Nashville,160.254.41.157
176,XSD00G35,CRM,Server,N,N,SunOS,s10s_u5wos_10,5.1,Sun Microsystems sun4v SPARC Enterprise T5120,BEL08355UK,Nashville,160.254.41.154
177,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,192.168.48.139
178,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,10.9.73.32
179,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,192.168.48.139
180,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,10.9.74.48
181,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,10.9.74.231
182,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,10.9.74.167
183,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,10.9.73.31
184,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,10.9.74.104
185,XSATSM10B,ESS,Server,N,N,AIX,7,6.1,9117-MMA,10052F2,SOMERSET,192.168.47.139
186,AVANPCESX01N10,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Freeport,167.222.65.172
187,NTSMPWM15058C,FEA,Server,Y,Y,Windows 2000,N/A,5,X86,N/A,Freeport,10.0.56.120
